CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
8,Barcelona,19,Barcelona,4,8,2019,12,30,47.0,V,45.0,V,38.0,V,36.0,V,32.0,V,30.0,V,34.0,V,37.0,V,40.0,V,42.0,V,42.0,V,46.0,V,46.0,V,40.0,V,46.0,V,44.0,V,54.0,V,59.0,V,66.0,V,67.0,V,66.0,V,58.0,V,49.0,V,,N
8,Barcelona,19,Barcelona,4,8,2019,12,31,45.0,V,42.0,V,41.0,V,36.0,V,24.0,V,28.0,V,32.0,V,38.0,V,41.0,V,44.0,V,43.0,V,,N,32.0,V,23.0,V,22.0,V,22.0,V,22.0,V,30.0,V,36.0,V,31.0,V,36.0,V,31.0,V,24.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,1,22.0,V,24.0,V,28.0,V,28.0,V,22.0,V,19.0,V,20.0,V,24.0,V,20.0,V,20.0,V,25.0,V,6.0,V,17.0,V,12.0,V,20.0,V,20.0,V,17.0,V,17.0,V,16.0,V,12.0,V,9.0,V,10.0,V,11.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,2,26.0,V,25.0,V,24.0,V,19.0,V,14.0,V,15.0,V,17.0,V,26.0,V,26.0,V,41.0,V,32.0,V,41.0,V,34.0,V,36.0,V,36.0,V,29.0,V,34.0,V,50.0,V,39.0,V,28.0,V,38.0,V,50.0,V,46.0,V,46.0,V
8,Barcelona,19,Barcelona,4,10,2019,12,3,41.0,V,34.0,V,31.0,V,24.0,V,20.0,V,16.0,V,24.0,V,36.0,V,42.0,V,44.0,V,44.0,V,29.0,V,29.0,V,,N,49.0,V,28.0,V,22.0,V,22.0,V,22.0,V,21.0,V,21.0,V,21.0,V,17.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,4,,N,19.0,V,21.0,V,26.0,V,24.0,V,18.0,V,9.0,V,11.0,V,12.0,V,13.0,V,21.0,V,21.0,V,16.0,V,18.0,V,19.0,V,19.0,V,24.0,V,26.0,V,23.0,V,14.0,V,16.0,V,18.0,V,16.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,5,3.0,V,4.0,V,3.0,V,9.0,V,4.0,V,3.0,V,4.0,V,6.0,V,8.0,V,11.0,V,12.0,V,20.0,V,15.0,V,15.0,V,16.0,V,15.0,V,13.0,V,14.0,V,14.0,V,16.0,V,,N,,N,,N,,N
8,Barcelona,19,Barcelona,4,10,2019,12,6,18.0,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
8,Barcelona,19,Barcelona,4,10,2019,12,9,9.0,V,7.0,V,7.0,V,8.0,V,6.0,V,7.0,V,8.0,V,13.0,V,19.0,V,18.0,V,22.0,V,24.0,V,23.0,V,31.0,V,27.0,V,22.0,V,31.0,V,40.0,V,32.0,V,19.0,V,16.0,V,25.0,V,20.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,10,11.0,V,8.0,V,7.0,V,9.0,V,12.0,V,15.0,V,20.0,V,31.0,V,30.0,V,32.0,V,38.0,V,41.0,V,20.0,V,15.0,V,15.0,V,19.0,V,32.0,V,35.0,V,59.0,V,35.0,V,31.0,V,33.0,V,33.0,V,33.0,V
8,Barcelona,19,Barcelona,4,10,2019,12,11,30.0,V,28.0,V,26.0,V,24.0,V,21.0,V,16.0,V,21.0,V,41.0,V,34.0,V,41.0,V,35.0,V,35.0,V,36.0,V,37.0,V,24.0,V,21.0,V,37.0,V,25.0,V,26.0,V,27.0,V,30.0,V,22.0,V,9.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,12,5.0,V,7.0,V,8.0,V,7.0,V,6.0,V,7.0,V,9.0,V,12.0,V,18.0,V,15.0,V,13.0,V,16.0,V,16.0,V,15.0,V,13.0,V,13.0,V,16.0,V,19.0,V,17.0,V,11.0,V,6.0,V,8.0,V,6.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,13,6.0,V,5.0,V,3.0,V,5.0,V,5.0,V,5.0,V,7.0,V,13.0,V,16.0,V,15.0,V,17.0,V,21.0,V,22.0,V,20.0,V,21.0,V,20.0,V,23.0,V,20.0,V,15.0,V,17.0,V,13.0,V,11.0,V,9.0,V,7.0,V
8,Barcelona,19,Barcelona,4,10,2019,12,14,6.0,V,6.0,V,7.0,V,8.0,V,9.0,V,8.0,V,9.0,V,12.0,V,13.0,V,15.0,V,18.0,V,19.0,V,15.0,V,14.0,V,12.0,V,17.0,V,11.0,V,10.0,V,10.0,V,15.0,V,14.0,V,17.0,V,16.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,15,15.0,V,7.0,V,9.0,V,10.0,V,6.0,V,8.0,V,8.0,V,9.0,V,11.0,V,12.0,V,11.0,V,12.0,V,11.0,V,10.0,V,15.0,V,21.0,V,16.0,V,16.0,V,19.0,V,20.0,V,18.0,V,19.0,V,20.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,16,13.0,V,17.0,V,19.0,V,22.0,V,19.0,V,18.0,V,23.0,V,,N,,N,,N,44.0,V,,N,,N,,N,,N,22.0,V,20.0,V,21.0,V,27.0,V,36.0,V,43.0,V,43.0,V,43.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,17,35.0,V,32.0,V,30.0,V,27.0,V,26.0,V,29.0,V,34.0,V,42.0,V,46.0,V,65.0,V,74.0,V,84.0,V,85.0,V,99.0,V,121.0,V,125.0,V,142.0,V,178.0,V,192.0,V,193.0,V,181.0,V,175.0,V,169.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,18,144.0,V,142.0,V,146.0,V,139.0,V,133.0,V,125.0,V,120.0,V,131.0,V,138.0,V,134.0,V,131.0,V,131.0,V,122.0,V,109.0,V,85.0,V,67.0,V,61.0,V,61.0,V,63.0,V,53.0,V,37.0,V,33.0,V,42.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,19,80.0,V,80.0,V,79.0,V,76.0,V,76.0,V,68.0,V,68.0,V,88.0,V,75.0,V,85.0,V,90.0,V,91.0,V,85.0,V,94.0,V,81.0,V,56.0,V,33.0,V,38.0,V,39.0,V,31.0,V,23.0,V,29.0,V,33.0,V,,N
8,Barcelona,19,Barcelona,4,10,2019,12,20,29.0,V,29.0,V,26.0,V,23.0,V,22.0,V,23.0,V,27.0,V,39.0,V,49.0,V,46.0,V,21.0,V,27.0,V,32.0,V,14.0,V,21.0,V,25.0,V,5.0,V,16.0,V,45.0,V,39.0,V,22.0,V,18.0,V,32.0,V,33.0,V
8,Barcelona,19,Barcelona,4,10,2019,12,21,19.0,V,13.0,V,22.0,V,16.0,V,13.0,V,17.0,V,6.0,V,6.0,V,10.0,V,11.0,V,14.0,V,12.0,V,24.0,V,25.0,V,23.0,V,24.0,V,20.0,V,9.0,V,13.0,V,18.0,V,27.0,V,14.0,V,4.0,V,16.0,V
8,Barcelona,19,Barcelona,4,10,2019,12,22,20.0,V,15.0,V,12.0,V,13.0,V,14.0,V,11.0,V,15.0,V,12.0,V,13.0,V,12.0,V,10.0,V,8.0,V,7.0,V,9.0,V,9.0,V,10.0,V,15.0,V,19.0,V,16.0,V,19.0,V,13.0,V,8.0,V,9.0,V,8.0,V
