CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
8,Barcelona,19,Barcelona,4,7,2022,11,1,9.0,V,1.0,V,1.0,V,1.0,V,2.0,V,4.0,V,4.0,V,2.0,V,5.0,V,5.0,V,3.0,V,2.0,V,1.0,V,2.0,V,1.0,V,1.0,V,9.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,6.0,V,9.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,2,6.0,V,5.0,V,3.0,V,2.0,V,3.0,V,8.0,V,24.0,V,44.0,V,62.0,V,49.0,V,11.0,V,3.0,V,3.0,V,3.0,V,2.0,V,3.0,V,3.0,V,1.0,V,1.0,V,1.0,V,1.0,V,5.0,V,14.0,V,25.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,3,14.0,V,10.0,V,7.0,V,5.0,V,5.0,V,6.0,V,20.0,V,51.0,V,79.0,V,94.0,V,82.0,V,18.0,V,15.0,V,6.0,V,4.0,V,4.0,V,2.0,V,1.0,V,1.0,V,2.0,V,2.0,V,2.0,V,1.0,V,1.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,4,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,3.0,V,2.0,V,4.0,V,,N,,N,4.0,V,4.0,V,2.0,V,3.0,V,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,5,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,3.0,V,3.0,V,8.0,V,4.0,V,6.0,V,4.0,V,2.0,V,1.0,V,2.0,V,3.0,V,29.0,V,46.0,V,31.0,V,24.0,V,25.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,6,20.0,V,23.0,V,14.0,V,8.0,V,3.0,V,2.0,V,2.0,V,6.0,V,10.0,V,14.0,V,12.0,V,35.0,V,23.0,V,14.0,V,11.0,V,5.0,V,1.0,V,1.0,V,1.0,V,10.0,V,16.0,V,4.0,V,6.0,V,7.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,7,6.0,V,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,6.0,V,24.0,V,47.0,V,73.0,V,88.0,V,69.0,V,28.0,V,5.0,V,3.0,V,3.0,V,9.0,V,5.0,V,7.0,V,24.0,V,61.0,V,90.0,V,60.0,V,44.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,8,45.0,V,37.0,V,21.0,V,12.0,V,14.0,V,29.0,V,36.0,V,62.0,V,82.0,V,58.0,V,41.0,V,51.0,V,38.0,V,5.0,V,4.0,V,7.0,V,7.0,V,4.0,V,2.0,V,1.0,V,1.0,V,17.0,V,40.0,V,46.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,9,19.0,V,9.0,V,12.0,V,7.0,V,10.0,V,7.0,V,21.0,V,38.0,V,68.0,V,133.0,V,155.0,V,57.0,V,27.0,V,17.0,V,3.0,V,3.0,V,2.0,V,4.0,V,3.0,V,2.0,V,2.0,V,1.0,V,5.0,V,3.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,10,1.0,V,4.0,V,1.0,V,2.0,V,2.0,V,2.0,V,9.0,V,27.0,V,33.0,V,35.0,V,27.0,V,,N,10.0,V,3.0,V,4.0,V,4.0,V,4.0,V,2.0,V,1.0,V,1.0,V,7.0,V,37.0,V,19.0,V,30.0,V
8,Barcelona,19,Barcelona,4,7,2022,11,11,16.0,V,16.0,V,9.0,V,5.0,V,1.0,V,2.0,V,12.0,V,14.0,V,17.0,V,21.0,V,24.0,V,3.0,V,2.0,V,2.0,V,1.0,V,3.0,V,3.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V
