CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
8,Barcelona,19,Barcelona,4,7,2020,12,1,14.0,V,4.0,V,3.0,V,4.0,V,4.0,V,4.0,V,7.0,V,13.0,V,15.0,V,17.0,V,19.0,V,23.0,V,13.0,V,11.0,V,10.0,V,12.0,V,18.0,V,19.0,V,17.0,V,19.0,V,33.0,V,38.0,V,33.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,2,17.0,V,7.0,V,1.0,V,1.0,V,1.0,V,10.0,V,7.0,V,9.0,V,30.0,V,14.0,V,16.0,V,18.0,V,11.0,V,10.0,V,6.0,V,8.0,V,8.0,V,5.0,V,4.0,V,6.0,V,40.0,V,43.0,V,49.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,3,9.0,V,2.0,V,1.0,V,2.0,V,2.0,V,1.0,V,2.0,V,4.0,V,11.0,V,8.0,V,15.0,V,12.0,V,13.0,V,19.0,V,11.0,V,10.0,V,9.0,V,10.0,V,5.0,V,7.0,V,5.0,V,2.0,V,2.0,V,1.0,V
8,Barcelona,19,Barcelona,4,7,2020,12,4,1.0,V,2.0,V,4.0,V,4.0,V,3.0,V,10.0,V,28.0,V,63.0,V,90.0,V,135.0,V,48.0,V,14.0,V,10.0,V,6.0,V,3.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,7.0,V,22.0,V,35.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,5,9.0,V,12.0,V,10.0,V,3.0,V,2.0,V,2.0,V,2.0,V,10.0,V,5.0,V,9.0,V,10.0,V,8.0,V,7.0,V,6.0,V,4.0,V,4.0,V,3.0,V,2.0,V,3.0,V,2.0,V,2.0,V,1.0,V,2.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,6,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,3.0,V,1.0,V,1.0,V,2.0,V,2.0,V,2.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,3.0,V,2.0,V,3.0,V,2.0,V,1.0,V,2.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,7,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,1.0,V,3.0,V,12.0,V,14.0,V,11.0,V,10.0,V,20.0,V,11.0,V,9.0,V,10.0,V,6.0,V,37.0,V,64.0,V,115.0,V,59.0,V,7.0,V,8.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,8,3.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,4.0,V,1.0,V,2.0,V,3.0,V,2.0,V,3.0,V,4.0,V,4.0,V,3.0,V,4.0,V,5.0,V,6.0,V,14.0,V,4.0,V,2.0,V,1.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,9,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,3.0,V,4.0,V,7.0,V,8.0,V,8.0,V,7.0,V,15.0,V,14.0,V,5.0,V,5.0,V,4.0,V,3.0,V,3.0,V,3.0,V,4.0,V,5.0,V,3.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,10,2.0,V,13.0,V,10.0,V,2.0,V,1.0,V,2.0,V,7.0,V,9.0,V,11.0,V,11.0,V,19.0,V,11.0,V,11.0,V,8.0,V,8.0,V,5.0,V,7.0,V,12.0,V,46.0,V,31.0,V,46.0,V,78.0,V,92.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,11,57.0,V,37.0,V,27.0,V,15.0,V,23.0,V,38.0,V,43.0,V,69.0,V,108.0,V,86.0,V,85.0,V,60.0,V,86.0,V,42.0,V,15.0,V,14.0,V,29.0,V,60.0,V,81.0,V,88.0,V,65.0,V,70.0,V,53.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,12,5.0,V,6.0,V,2.0,V,2.0,V,2.0,V,4.0,V,6.0,V,2.0,V,1.0,V,3.0,V,5.0,V,5.0,V,3.0,V,6.0,V,4.0,V,3.0,V,4.0,V,3.0,V,3.0,V,2.0,V,1.0,V,2.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,13,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,4.0,V,8.0,V,17.0,V,12.0,V,6.0,V,5.0,V,5.0,V,4.0,V,2.0,V,2.0,V,4.0,V,7.0,V,6.0,V,30.0,V,43.0,V,21.0,V
8,Barcelona,19,Barcelona,4,7,2020,12,14,10.0,V,5.0,V,2.0,V,3.0,V,2.0,V,18.0,V,28.0,V,77.0,V,132.0,V,126.0,V,,N,158.0,V,146.0,V,124.0,V,95.0,V,59.0,V,54.0,V,43.0,V,76.0,V,89.0,V,95.0,V,152.0,V,158.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,15,114.0,V,113.0,V,89.0,V,73.0,V,52.0,V,60.0,V,91.0,V,104.0,V,133.0,V,154.0,V,111.0,V,88.0,V,30.0,V,23.0,V,10.0,V,8.0,V,12.0,V,8.0,V,14.0,V,26.0,V,37.0,V,35.0,V,15.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,16,8.0,V,15.0,V,14.0,V,12.0,V,10.0,V,23.0,V,48.0,V,91.0,V,167.0,V,149.0,V,95.0,V,103.0,V,86.0,V,22.0,V,19.0,V,17.0,V,11.0,V,17.0,V,15.0,V,77.0,V,106.0,V,111.0,V,97.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,17,54.0,V,31.0,V,21.0,V,14.0,V,5.0,V,11.0,V,23.0,V,47.0,V,50.0,V,50.0,V,71.0,V,102.0,V,80.0,V,30.0,V,3.0,V,3.0,V,3.0,V,4.0,V,5.0,V,2.0,V,3.0,V,2.0,V,7.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,18,4.0,V,13.0,V,2.0,V,1.0,V,1.0,V,2.0,V,6.0,V,5.0,V,4.0,V,5.0,V,4.0,V,5.0,V,7.0,V,7.0,V,5.0,V,3.0,V,3.0,V,3.0,V,3.0,V,2.0,V,3.0,V,22.0,V,32.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,19,35.0,V,35.0,V,24.0,V,9.0,V,8.0,V,11.0,V,13.0,V,21.0,V,21.0,V,19.0,V,16.0,V,17.0,V,11.0,V,9.0,V,7.0,V,6.0,V,4.0,V,4.0,V,2.0,V,1.0,V,1.0,V,18.0,V,14.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,20,8.0,V,9.0,V,12.0,V,2.0,V,1.0,V,2.0,V,1.0,V,2.0,V,3.0,V,2.0,V,3.0,V,3.0,V,2.0,V,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,6.0,V,2.0,V,1.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,21,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,10.0,V,52.0,V,44.0,V,54.0,V,20.0,V,23.0,V,35.0,V,30.0,V,13.0,V,18.0,V,21.0,V,8.0,V,11.0,V,29.0,V,6.0,V,11.0,V,22.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,22,4.0,V,5.0,V,10.0,V,7.0,V,7.0,V,16.0,V,39.0,V,63.0,V,99.0,V,134.0,V,117.0,V,112.0,V,96.0,V,44.0,V,18.0,V,14.0,V,19.0,V,16.0,V,10.0,V,17.0,V,5.0,V,16.0,V,52.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,23,20.0,V,27.0,V,13.0,V,11.0,V,13.0,V,37.0,V,47.0,V,62.0,V,95.0,V,100.0,V,48.0,V,35.0,V,24.0,V,18.0,V,13.0,V,8.0,V,9.0,V,9.0,V,13.0,V,13.0,V,37.0,V,15.0,V,27.0,V,19.0,V
8,Barcelona,19,Barcelona,4,7,2020,12,24,5.0,V,5.0,V,6.0,V,7.0,V,17.0,V,23.0,V,20.0,V,39.0,V,45.0,V,5.0,V,10.0,V,6.0,V,6.0,V,5.0,V,4.0,V,8.0,V,6.0,V,5.0,V,4.0,V,3.0,V,2.0,V,1.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,25,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,3.0,V,3.0,V,3.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,26,1.0,V,3.0,V,2.0,V,1.0,V,1.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,2.0,V,1.0,V,3.0,V,2.0,V,1.0,V,1.0,V,2.0,V,1.0,V,1.0,V,3.0,V,2.0,V,2.0,V,4.0,V,3.0,V
8,Barcelona,19,Barcelona,4,7,2020,12,27,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,4.0,V,1.0,V,1.0,V,1.0,V,1.0,V,5.0,V,3.0,V,3.0,V,4.0,V,4.0,V,2.0,V,2.0,V,4.0,V,2.0,V,4.0,V,11.0,V,11.0,V,12.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,28,3.0,V,3.0,V,1.0,V,1.0,V,1.0,V,2.0,V,3.0,V,3.0,V,2.0,V,3.0,V,4.0,V,3.0,V,,N,,N,2.0,V,3.0,V,2.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,2.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,29,6.0,V,2.0,V,3.0,V,2.0,V,3.0,V,5.0,V,2.0,V,3.0,V,4.0,V,4.0,V,8.0,V,5.0,V,4.0,V,6.0,V,6.0,V,4.0,V,3.0,V,3.0,V,3.0,V,2.0,V,1.0,V,1.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,30,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,3.0,V,1.0,V,3.0,V,6.0,V,4.0,V,6.0,V,7.0,V,6.0,V,5.0,V,4.0,V,3.0,V,4.0,V,4.0,V,3.0,V,3.0,V,3.0,V,2.0,V,1.0,V,,N
8,Barcelona,19,Barcelona,4,7,2020,12,31,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,3.0,V,2.0,V,10.0,V,5.0,V,14.0,V,12.0,V,25.0,V,15.0,V,10.0,V,6.0,V,4.0,V,4.0,V,5.0,V,4.0,V,4.0,V,5.0,V,3.0,V,2.0,V,1.0,V
8,Barcelona,19,Barcelona,4,8,2020,12,1,40.0,V,36.0,V,33.0,V,28.0,V,28.0,V,27.0,V,26.0,V,27.0,V,29.0,V,28.0,V,27.0,V,29.0,V,23.0,V,23.0,V,28.0,V,31.0,V,34.0,V,35.0,V,34.0,V,32.0,V,34.0,V,35.0,V,35.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,2,39.0,V,27.0,V,13.0,V,14.0,V,12.0,V,16.0,V,19.0,V,30.0,V,44.0,V,34.0,V,36.0,V,31.0,V,24.0,V,23.0,V,21.0,V,28.0,V,36.0,V,43.0,V,45.0,V,42.0,V,66.0,V,66.0,V,63.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,3,42.0,V,17.0,V,11.0,V,11.0,V,10.0,V,11.0,V,21.0,V,27.0,V,44.0,V,32.0,V,34.0,V,29.0,V,29.0,V,41.0,V,34.0,V,37.0,V,49.0,V,57.0,V,59.0,V,66.0,V,57.0,V,51.0,V,46.0,V,34.0,V
8,Barcelona,19,Barcelona,4,8,2020,12,4,32.0,V,34.0,V,43.0,V,41.0,V,44.0,V,54.0,V,59.0,V,60.0,V,64.0,V,72.0,V,60.0,V,42.0,V,31.0,V,21.0,V,15.0,V,18.0,V,23.0,V,35.0,V,33.0,V,31.0,V,56.0,V,74.0,V,73.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,5,56.0,V,55.0,V,45.0,V,32.0,V,30.0,V,24.0,V,24.0,V,42.0,V,29.0,V,36.0,V,32.0,V,27.0,V,21.0,V,19.0,V,16.0,V,15.0,V,18.0,V,21.0,V,18.0,V,19.0,V,13.0,V,9.0,V,12.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,6,10.0,V,7.0,V,12.0,V,6.0,V,8.0,V,11.0,V,8.0,V,9.0,V,8.0,V,7.0,V,8.0,V,11.0,V,9.0,V,9.0,V,11.0,V,11.0,V,14.0,V,12.0,V,16.0,V,14.0,V,15.0,V,13.0,V,15.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,7,12.0,V,8.0,V,11.0,V,15.0,V,12.0,V,13.0,V,16.0,V,33.0,V,51.0,V,40.0,V,34.0,V,31.0,V,44.0,V,36.0,V,40.0,V,42.0,V,41.0,V,64.0,V,69.0,V,77.0,V,72.0,V,35.0,V,40.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,8,10.0,V,14.0,V,10.0,V,9.0,V,8.0,V,12.0,V,19.0,V,17.0,V,19.0,V,14.0,V,10.0,V,11.0,V,12.0,V,14.0,V,14.0,V,20.0,V,25.0,V,46.0,V,53.0,V,31.0,V,20.0,V,16.0,V,14.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,9,9.0,V,7.0,V,7.0,V,6.0,V,6.0,V,8.0,V,12.0,V,23.0,V,26.0,V,24.0,V,24.0,V,24.0,V,33.0,V,33.0,V,17.0,V,20.0,V,22.0,V,21.0,V,23.0,V,27.0,V,36.0,V,43.0,V,35.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,10,28.0,V,47.0,V,43.0,V,17.0,V,9.0,V,18.0,V,39.0,V,48.0,V,46.0,V,43.0,V,41.0,V,27.0,V,25.0,V,20.0,V,23.0,V,23.0,V,29.0,V,53.0,V,68.0,V,64.0,V,71.0,V,75.0,V,73.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,11,55.0,V,48.0,V,47.0,V,45.0,V,42.0,V,39.0,V,41.0,V,48.0,V,56.0,V,54.0,V,54.0,V,58.0,V,59.0,V,52.0,V,33.0,V,38.0,V,56.0,V,62.0,V,66.0,V,68.0,V,58.0,V,56.0,V,50.0,V,,N
8,Barcelona,19,Barcelona,4,8,2020,12,12,39.0,V,35.0,V,30.0,V,21.0,V,19.0,V,16.0,V,25.0,V,14.0,V,11.0,V,12.0,V,13.0,V,13.0,V,10.0,V,13.0,V,14.0,V,13.0,V,17.0,V,22.0,V,18.0,V,18.0,V,16.0,V,21.0,V,19.0,V,,N
